Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Carmilla,J. Sheridan Le Fanu,Carmen Maria Machado (Contributor),9781941360385,paperback,to-read,2025/02/14,"","",0,"",,,,,,,,,"",,"",No
The Grand Design,"Leonard Mlodinow, Stephen Hawking","",9780553805376,hardcover,read,2021/05/01,"","",1,"",,,,,,,,,"",,"",No
In the Miso Soup,Ryū Murakami,Ralph McCarthy (Translator),9780143035695,paperback,to-read,2025/02/14,"","",0,"",,,,,,,,,"",,"",No
The Lightning Thief,Rick Riordan,"",9781417732470,hardcover,read,2019/07/29,"","",1,"",,,,,,,3.0,,"",,"",No
"Kowloon Generic Romance, Vol. 3",Jun Mayuzuki,"Abigail Blackman, Amanda Haley (Translator)",9781975345822,paperback,read,2025/02/06,"","",1,"",,,,,,,,,"",,"",No
The Tale of a Wall,Nasser Abu Srour,Luke Leafgren (Translator),9781635423877,paperback,to-read,2024/08/25,"","",0,"",,,,,,,,,"",,"",No
"Gödel, Escher, Bach: an Eternal Golden Braid",Douglas R. Hofstadter,"",9780465026562,paperback,to-read,2020/11/21,"","",0,"",,,,,,,,,"",,"",No
Chaos: Making a New Science ,James Gleick,"",9780140092509,paperback,read,2021/01/19,2020/10/01,2020/10/01,1,"",,,,,,,5.0,,"",,"",No
Magic Pill: The Extraordinary Benefits and Disturbing Risks of the New Weight Loss Drugs,Johann Hari,Johann Hari (Narrator),9781526670113,audio,to-read,2024/11/19,"","",0,"",,,,,,,,,"",,"",No
Never Let Me Go,Kazuo Ishiguro,Rosalyn Landor (Narrator),9780739317990,audio,read,2022/07/20,2022/07/20,2022/07/20,1,"",,,,,,,4.0,,"",,science-fiction,No
Homo Deus: A History of Tomorrow,Yuval Noah Harari,"",9781473545571,paperback,read,2021/09/07,2021/09/06,2021/09/06,1,"",,,,,,,4.0,,"",,pop-sci,No
Bewilderment,Richard Powers,"",9780393881141,hardcover,to-read,2021/08/17,"","",0,"",,,,,,,,,"",,"",No
Through the Woods,E.M. Carroll,E.M. Carroll (Illustrator),9781442465954,hardcover,read,2019/07/29,"","",1,"",,,,,,,5.0,,"",,"",No
Nervous System,Lina Meruane,Megan McDowell (Translator),9781644450550,paperback,to-read,2025/02/06,"","",0,"",,,,,,,,,"",,"",No
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"",9780593466490,paperback,to-read,2024/07/19,"","",0,"",,,,,,,,,"",,"",No
Bunny,Mona Awad,"",9780525559733,hardcover,to-read,2024/09/26,"","",0,"",,,,,,,,,"",,"",No
The Picture of Dorian Gray,Oscar Wilde,"",9781853260155,paperback,read,2024/08/25,2024/09/04,2024/08/25-2024/09/04,1,"dark, tense, funny, reflective",slow,Character,Yes,No,No,Yes,4.5,,"","","",No
I Contain Multitudes: The Microbes Within Us and a Grander View of Life,Ed Yong,"",9780062368591,hardcover,to-read,2024/04/15,"","",0,"",,,,,,,,,"",,"",No
Midnight's Children,Salman Rushdie,"",9780099578512,paperback,read,2022/06/26,2022/05/28,2022/05/28,1,"",,,,,,,4.0,,"",,"",No
Man's Search for Meaning,Viktor E. Frankl,"Isle Lasch (Translator), Harold S. Kushner (Contributor), William J. Winslade (Contributor)",9780807014295,paperback,read,2021/05/01,2021/01/23,2021/01/23,1,"",,,,,,,5.0,,"",,"",No
"Entangled Life: How Fungi Make Our Worlds, Change Our Minds & Shape Our Futures",Merlin Sheldrake,"",9780525510314,hardcover,read,2022/03/19,2022/02/09,2022/02/09,1,"",,,,,,,5.0,,"",,"",No
Rock Paper Scissors,Alice Feeney,"",9781250266101,hardcover,to-read,2021/08/17,"","",0,"",,,,,,,,,"",,"",No
His Bloody Project: Documents Relating to the Case of Roderick Macrae,Graeme Macrae Burnet,"",9781910192146,paperback,to-read,2024/12/02,"","",0,"",,,,,,,,,"",,"",No
The Biggest Ideas in the Universe,Sean Carroll,"",9780593186589,hardcover,to-read,2024/04/15,"","",0,"",,,,,,,,,"",,"",No
Moonwalking with Einstein: The Art and Science of Remembering Everything,Joshua Foer,"",9780141032139,paperback,read,2024/07/19,"",2024/07/19-,1,"",,,,,,,,,"",,"",No
The Science of Murder: The Forensics of Agatha Christie,Carla Valentine,"",9781728251844,paperback,to-read,2024/04/15,"","",0,"",,,,,,,,,"",,"",No
1984,"Xavier Coste, George Orwell","",9782377315116,hardcover,read,2020/11/21,"","",1,"",,,,,,,5.0,,"",,"",No
"Watchmen #1: At Midnight, All The Agents…","Alan Moore, Alan Moore","John Higgins (Illustrator), Dave Gibbons (Illustrator)",,paperback,to-read,2019/07/29,"","",0,"",,,,,,,,,"",,"",No
Conversations with Friends,Sally Rooney,"",9780571333134,paperback,read,2024/10/30,2024/11/06,2024/10/30-2024/11/06,1,"",,,,,,,,,"",,"",No
Babel,R.F. Kuang,"",9780008501815,hardcover,to-read,2024/09/26,"","",0,"",,,,,,,,,"",,"",No
"Doing Harm: The Truth about How Bad Medicine and Lazy Science Leave Women Dismissed, Misdiagnosed, and Sick",Maya Dusenbery,"",9780062470805,hardcover,to-read,2024/11/18,"","",0,"",,,,,,,,,"",,"",No
We Have Always Lived in the Castle,Shirley Jackson,"Thomas Ott (Illustrator), Jonathan Lethem (Contributor)",9780143039976,paperback,to-read,2024/09/26,"","",0,"",,,,,,,,,"",,"",No
The Big Four,Agatha Christie,"",9780007120819,paperback,read,2024/04/10,2024/02/24,2024/02/21-2024/02/24,1,"mysterious, adventurous",medium,A mix,No,It's complicated,Yes,No,3.0,"","","","",Yes
Mrs McGinty's Dead,Agatha Christie,"",9780007527588,paperback,read,2025/02/24,2025/02/25,2025/02/19-2025/02/25,1,"dark, funny, mysterious",medium,"","","","","",3.5,"","","","",No
"Maus: Un survivant raconte. I, Mon père saigne l'histoire",Art Spiegelman,Judith Ertel (Translator),9782080660299,paperback,read,2019/07/29,"","",1,"",,,,,,,5.0,,"",,"",No
Manacled Volume 1,SenLinYu,"","",digital,read,2024/06/14,2024/06/03,2024/05/30-2024/06/03,1,"",,,,,,,,,"",,"",No
V for Vendetta #1,Alan Moore,David Lloyd (Illustrator),B00G9OHXFG,digital,to-read,2019/07/29,"","",0,"",,,,,,,,,"",,"",No
The Memory Police,Yōko Ogawa,Stephen Snyder (Translator),9781101870600,hardcover,to-read,2024/05/10,"","",0,"",,,,,,,,,"",,"",No
To Kill a Mockingbird,Harper Lee,"",9780060935467,paperback,read,2024/04/10,2021,2021,1,"",,,,,,,,,"",,"",No
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,"",9780143036555,paperback,to-read,2024/04/15,"","",0,"",,,,,,,,,"",,"",No
The Man from the Future: The Visionary Life of John von Neumann,Ananyo Bhattacharya,"",9780241398852,hardcover,read,2024/04/15,2023/11,2023/11,1,"",,,,,,,,,"",,"",No
Phase Transitions,Ricard Solé,"",9780691150758,paperback,read,2022/03/19,2022,2022,1,"",,,,,,,,,"",,"",No
Project Hail Mary,Andy Weir,"",9780593135204,hardcover,to-read,2021/12/21,"","",0,"",,,,,,,,,"",,"",No
"The Girl from the Other Side: Siúil, a Rún Vol. 2",Nagabe,Adrienne Beck (Translator),9781626925236,paperback,read,2024/08/08,"","",1,"",,,,,,,,,"",,"",No
Manacled: The Ending,SenLinYu,"","",hardcover,read,2024/06/26,2024/06/26,2024/06/13-2024/06/26,1,"",,,,,,,,,"",,"",No
The Sandman Vol. 1: Preludes & Nocturnes,Neil Gaiman,"Mike Dringenberg (Illustrator), Sam Kieth (Illustrator), Malcolm Jones III (Illustrator), Karen Berger (Contributor)",9781563892271,hardcover,to-read,2019/07/29,"","",0,"",,,,,,,,,"",,"",No
Zone One,Colson Whitehead,"",9780385528078,hardcover,to-read,2024/08/22,"","",0,"",,,,,,,,,"",,"",No
Normal People,Sally Rooney,"",9781984822178,hardcover,read,2022/10/17,2022/09/06,2022/09/06,1,"",,,,,,,4.0,,"",,"",No
2001: A Space Odyssey,Arthur C. Clarke,"",0451452739,paperback,to-read,2019/07/29,"","",0,"",,,,,,,,,"",,"",No
Prey,Michael Crichton,"",9780061015724,paperback,read,2024/08/08,2024/08/15,2024/08/07-2024/08/15,1,"tense, adventurous",fast,Plot,It's complicated,It's complicated,No,It's complicated,4.0,"","","","",No
Orbital,Samantha Harvey,"",9780802161550,digital,currently-reading,2024/11/18,"","",0,"",,,,,,,,,"",,"",No
"The Girl from the Other Side: Siúil, a Rún Vol. 3",Nagabe,Adrienne Beck (Translator),9781626925588,paperback,read,2024/08/08,2024/08/08,2024/08/08-2024/08/08,1,"",,,,,,,,,"",,"",No
Harlem Shuffle,Colson Whitehead,"",9780385545136,hardcover,to-read,2021/08/17,"","",0,"",,,,,,,,,"",,"",No
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,"",9780544272996,hardcover,read,2021/01/19,2020/12/01,2020/12/01,1,"",,,,,,,,,"",,"",Yes
Never Whistle at Night: An Indigenous Dark Fiction Anthology,"Shane Hawk, Theodore C. Van Alst Jr.","D.H. Trujillo, Stephen Graham Jones, Norris Black, Tiffany Morris, Darcie Little Badger, Tommy Orange, Richard Van Camp, Rebecca Roanhorse, Amber Blaeser-Wardzala, Nick Medina, Kelli Jo Ford, Conley Lyons, Mona Susan Power, Waubgeshig Rice, Brandon Hobson, Theodore C. Van Alst Jr., David Heska Wanbli Weiden, Mathilda Zeller, Carson Faust, Cherie Dimaline, Kate Hart, Andrea L. Rogers, Royce K. Young Wolf, Shane Hawk, Morgan Talty, Marcie R. Rendon, Phoenix Boudreau",9780593468463,paperback,to-read,2024/09/26,"","",0,"",,,,,,,,,"",,"",No
The Hobbit,J.R.R. Tolkien,"","",digital,read,2019/07/29,"","",3,"",,,,,,,4.0,,"",,"",No
Before Your Memory Fades,Toshikazu Kawaguchi,"",9781335429285,hardcover,read,2024/04/20,2024/04/30,2024/04/19-2024/04/30,1,"",,,,,,,,,"",,"",Yes
"The Girl from the Other Side: Siúil, a Rún Vol. 4",Nagabe,Adrienne Beck (Translator),9781626927018,paperback,read,2024/08/20,2024/08/20,2024/08/20-2024/08/20,1,"lighthearted, funny, emotional",fast,"","","","","",4.5,"","","","",No
Pachinko,Min Jin Lee,"",9781455563913,digital,to-read,2024/04/18,"","",0,"",,,,,,,,,"",,"",No
Cursed Bunny,Bora Chung,Anton Hur (Translator),9789393701619,paperback,read,2024/10/18,2024/10/21,2024/10/14-2024/10/21,1,"dark, mysterious",fast,A mix,It's complicated,It's complicated,Yes,"",4.0,"","","","",No
Tales from the Café,Toshikazu Kawaguchi,Geoffrey Trousselot (Translator),9781529050868,paperback,read,2024/04/10,2024/04/15,2024/04/08-2024/04/15,1,"reflective, emotional",fast,A mix,It's complicated,Yes,It's complicated,N/A,3.25,"","","","",Yes
Zen in the Art of Writing,Ray Bradbury,"",9780553296341,paperback,to-read,2019/07/29,"","",0,"",,,,,,,,,"",,"",No
Human Acts,Han Kang,Deborah Smith (Translator),9781846275975,paperback,read,2025/02/06,2025/02/16,2025/02/06-2025/02/16,1,"dark, tense, sad, emotional",fast,"","","","","",5.0,"","","","",No
Pride and Prejudice,Jane Austen,"",9780613640954,paperback,read,2024/04/10,2024/04/06,2024/03/25-2024/04/06,1,"",,,,,,,,,"",,"",Yes
The ABC Murders,Agatha Christie,"",9780007119295,paperback,read,2024/09/17,2024/09/23,2024/09/17-2024/09/23,1,"",,"","","","","",4.0,"","","","",No
I Want to Eat Your Pancreas,Yoru Sumino,"Idumi Kirihara (Illustrator), Beni Axia Conrad (Translator)",9781642750324,paperback,read,2024/07/06,2024/07/06,2024/07/05-2024/07/06,1,"",,,,,,,,,"",,"",Yes
The Kite Runner,Khaled Hosseini,"",9781526668431,hardcover,read,2021/05/14,2021/05/14,2021/05/14,1,"",,,,,,,5.0,,"",,"",No
The Midnight Library,Matt Haig,"",9780525559474,hardcover,read,2024/04/10,2024/02/20,2024/02-2024/02/20,1,"reflective, inspiring",fast,Plot,It's complicated,No,It's complicated,Yes,4.0,"","","","",No
The Ballad of Songbirds and Snakes,Suzanne Collins,"",9781338635171,hardcover,read,2024/08/17,2024/08/25,2024/08/16-2024/08/25,1,adventurous,medium,A mix,It's complicated,No,"","",3.5,"","","","",No
Harry Potter and the Deathly Hallows,J.K. Rowling,"","",digital,read,2019/07/29,"","",2,"",,,,,,,4.0,,"",,"",No
The Secret Adversary,Agatha Christie,"",9781600963940,paperback,read,2024/04/10,2024/02/06,2024/01-2024/02/06,1,"",,,,,,,,,"",,"",Yes
The Voids,Ryan O'Connor,"",9781913348434,paperback,to-read,2024/06/06,"","",0,"",,,,,,,,,"",,"",No
Before We Say Goodbye,Toshikazu Kawaguchi,Geoffrey Trousselot (Translator),9781035023431,paperback,read,2024/07/05,2024/07/05,2024/05/04-2024/07/05,1,"",,,,,,,,,"",,"",No
The Haunting of Hill House ,Shirley Jackson,"",9780143129370,paperback,read,2025/02/14,"","",1,"",,,,,,,,,"",,"",No
Cloud Cuckoo Land,Anthony Doerr,"",9781982168438,hardcover,to-read,2021/08/17,"","",0,"",,,,,,,,,"",,"",No
The Raven and Other Selected Poems,Edgar Allan Poe,"",9780008180515,paperback,to-read,2025/02/14,"","",0,"",,,,,,,,,"",,"",No
Markov Chains: From Theory to Implementation and Experimentation,Paul A. Gagniuc,"",9781119387558,hardcover,read,2025/03/04,2025/03/04,2025/02/24-2025/03/04,1,"",,,,,,,,,"",,"",No
House of Leaves,Mark Z. Danielewski,"",9780375703768,paperback,read,2025/02/18,2016/03,2016/03,1,"",,,,,,,,,"",,"",No
The Secret History,Donna Tartt,"",9781400031702,paperback,to-read,2024/09/26,"","",0,"",,,,,,,,,"",,"",No
Chronicle of a Death Foretold,Gabriel García Márquez,Gregory Rabassa (Translator),9781400034710,paperback,read,2021/01/19,2021/01/03,2021/01/03,1,"",,,,,,,4.0,,"",,"",No
Annihilation,Jeff VanderMeer,"",9780374104092,paperback,to-read,2024/09/26,"","",0,"",,,,,,,,,"",,"",No
We Solve Murders,Richard Osman,"",9780593653234,digital,to-read,2024/09/26,"","",0,"",,,,,,,,,"",,"",No
"Kowloon Generic Romance, Vol. 2","Jun Mayuzuki, 眉月じゅん","Amanda Haley (Translator), Abigail Blackman",9781975345808,paperback,read,2025/02/05,2025/02/05,2025/02/05-2025/02/05,1,"",,,,,,,,,"",,"",No
